DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2014,17436.999,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2015,19327.646,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2016,19206.889,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2017,22816.512,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2018,19129.331,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2019,22918.264,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2020,22326.680,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2021,18893.037,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2022,19890.338,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Austria,2023,21621.980,p
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2014,4188.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2015,2715.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2016,8465.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2017,8167.800,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2018,4308.400,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2019,14589.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2020,14054.800,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2021,23070.100,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2022,23877.100,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2023,18278.800,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2014,13774.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2015,14826.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2016,10940.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2017,9185.794,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2018,10030.050,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2019,8855.135,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2020,7114.842,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2021,10635.291,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2022,13664.624,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2023,7748.262,p
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2014,74320.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2015,85290.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2016,78863.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2017,80301.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2018,80463.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2019,72793.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2020,66882.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2021,70306.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2022,76587.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2023,60083.000,p
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2014,9847.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2015,9733.185,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2016,9919.365,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2017,10655.394,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2018,10409.267,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2019,10171.042,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2020,11711.401,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2021,15251.013,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2022,17389.516,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2023,16697.511,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2014,6484.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2015,6377.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2016,5614.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2017,5015.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2018,4950.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2019,2704.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2020,3723.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2021,4703.405,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2022,6172.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2023,4355.000,p
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2014,642.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2015,1473.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2016,1037.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2017,2459.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2018,2272.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2019,1123.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2020,967.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2021,3897.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2022,4304.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2023,3239.748,p
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2014,15716.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2015,15089.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2016,14178.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2017,14593.000,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2018,12916.000,
